pitches,player_id,player_name,ba,babip,slg,woba,xwoba,xba,launch_speed,spin_rate,velocity,era,next_era
2410,607200,"Fedde, Erick",0.275,0.32,0.466,0.34,0.337,0.263,88.2,1980,88.9,5.47,5.81
2405,622608,"Senzatela, Antonio",0.287,0.326,0.421,0.323,0.319,0.273,89.3,2091,90.4,4.42,5.07
2381,605135,"Bassitt, Chris",0.218,0.271,0.348,0.274,0.286,0.227,87.3,2165,88.4,3.15,3.42
2380,452657,"Lester, Jon",0.285,0.3,0.478,0.352,0.344,0.274,87.2,2128,85.2,4.71,
2372,592791,"Taillon, Jameson",0.238,0.273,0.422,0.309,0.304,0.23,88.5,2459,89.7,4.3,3.91
2357,615698,"Quantrill, Cal",0.234,0.27,0.373,0.296,0.308,0.244,86.6,2048,90.6,2.89,3.38
2357,663554,"Mize, Casey",0.234,0.254,0.418,0.308,0.338,0.254,88.8,2020,89.6,3.71,
2356,642547,"Peralta, Freddy",0.165,0.232,0.3,0.252,0.253,0.174,85.6,2253,87.6,2.81,3.58
2352,605288,"Houser, Adrian",0.228,0.264,0.34,0.297,0.312,0.24,86.3,2042,90.3,3.22,4.73
2348,641745,"Keller, Brad",0.297,0.347,0.457,0.358,0.38,0.292,89.5,2351,91,5.39,5.09
2347,605483,"Snell, Blake",0.214,0.296,0.375,0.305,0.335,0.232,87.9,2319,90.3,4.2,3.38
2331,572070,"Richards, Garrett",0.289,0.333,0.468,0.356,0.357,0.285,91,2572,90.4,4.87,5.27
2330,571760,"Heaney, Andrew",0.256,0.304,0.487,0.341,0.318,0.237,88.8,2399,87.7,5.83,3.1
2328,607644,"Means, John",0.224,0.241,0.427,0.294,0.31,0.242,87.5,2334,87.3,3.62,
2324,594835,"Gonzales, Marco",0.234,0.24,0.465,0.321,0.341,0.257,87.7,2169,84.1,3.96,4.13
2294,518516,"Bumgarner, Madison",0.242,0.267,0.439,0.315,0.319,0.245,88.1,2301,85.6,4.67,4.88
2287,663903,"Singer, Brady",0.281,0.35,0.414,0.338,0.326,0.258,88.2,2308,90.3,4.91,3.23
2236,592314,"Foltynewicz, Mike",0.26,0.256,0.527,0.355,0.349,0.265,89.2,2179,87.9,5.44,
2232,518774,"Harvey, Matt",0.299,0.333,0.481,0.355,0.351,0.289,88.9,2185,89.2,6.27,
2228,543243,"Gray, Sonny",0.225,0.282,0.385,0.3,0.279,0.216,86.1,2486,87.2,4.19,3.08
2219,607074,"Rodón, Carlos",0.189,0.271,0.306,0.247,0.254,0.189,88.4,2259,91.2,2.37,2.88
2214,657277,"Webb, Logan",0.234,0.312,0.332,0.274,0.276,0.229,87.4,2048,88.4,3.03,2.9
2205,668676,"Plesac, Zach",0.248,0.264,0.437,0.314,0.325,0.255,90.2,1917,88.3,4.67,4.31
2202,663460,"Bubic, Kris",0.248,0.28,0.444,0.337,0.349,0.256,88.6,2022,85.4,4.43,5.58
2195,622072,"Wood, Alex",0.236,0.305,0.372,0.298,0.304,0.239,89.1,2009,87.9,3.83,5.1
2175,666120,"Anderson, Ian",0.221,0.265,0.371,0.293,0.317,0.24,86.1,1888,89.6,3.58,5
2171,640444,"Crowe, Wil",0.276,0.314,0.501,0.369,0.348,0.255,88.3,2339,88.6,5.48,4.38
2169,669432,"Rogers, Trevor",0.218,0.307,0.318,0.27,0.284,0.223,86.6,2048,90,2.64,5.47
2166,605347,"López, Jorge",0.293,0.341,0.485,0.369,0.353,0.275,89.6,2033,90.7,6.07,2.54
2139,592767,"Smyly, Drew",0.269,0.3,0.48,0.342,0.342,0.267,87.5,2076,86,4.48,3.47
2125,669302,"Gilbert, Logan",0.241,0.295,0.425,0.305,0.311,0.242,89.4,2163,89.8,4.68,3.2
2102,668678,"Gallen, Zac",0.233,0.289,0.413,0.313,0.306,0.23,88.4,2203,89.6,4.3,2.54
2090,664285,"Valdez, Framber",0.22,0.268,0.327,0.288,0.301,0.231,90.6,2307,87.4,3.14,2.82
2067,592761,"Smith, Caleb",0.217,0.256,0.401,0.317,0.313,0.216,86.1,2366,87,4.83,4.11
2054,663465,"Allard, Kolby",0.258,0.27,0.474,0.331,0.343,0.266,89.4,2028,87.2,5.41,7.29
2027,660271,"Ohtani, Shohei",0.207,0.271,0.351,0.279,0.282,0.207,87.5,2104,89.5,3.18,2.33
2024,621076,"Kaprielian, James",0.233,0.276,0.43,0.314,0.324,0.239,89.3,1990,89,4.07,4.23
